B2,B3,B4,B5,B6,B7,B8,B9,B11,NDVI,lc,random_split,NDBI
0.0394,0.0574,0.0542,0.0862,0.1584,0.1755,0.187,0.1973,0.1739,0.55058044,1,0.7510228577184557,-0.036298143530063734
0.03635,0.0608,0.0545,0.103,0.19405,0.2197,0.2395,0.25965,0.1976,0.6292517,1,0.7372097431717554,-0.0958590711507664
0.05325,0.0724,0.0795,0.10455,0.16015,0.18055,0.1897,0.21435,0.2113,0.4093611,1,0.7179390311602096,0.053865336658354065
0.0399,0.05695,0.0547,0.0914,0.16815,0.18995,0.1973,0.1917,0.18255,0.565873,1,0.6849541443816235,-0.038831117546399924
0.041,0.0604,0.0604,0.1125,0.2046,0.2214,0.199,0.2375,0.1746,0.5343099,1,0.5323114440977573,-0.06531049250535333
0.0541,0.0772,0.0808,0.1126,0.1887,0.2047,0.216,0.2194,0.2086,0.45552564,1,0.5106363497564734,-0.01742816768723502
0.0462,0.0636,0.0626,0.1087,0.174,0.1933,0.1964,0.1917,0.2026,0.51660234,1,0.4895722998967835,0.015538847117794513
0.0492,0.0726,0.0796,0.1103,0.1772,0.1892,0.2012,0.214,0.2175,0.43304843,1,0.4679551159864887,0.03893002149510392
0.0389,0.0554,0.0524,0.0879,0.1861,0.20705,0.2147,0.2303,0.17455,0.6076376,1,0.4488930978386344,-0.10314707771355168
0.0706,0.0975,0.1084,0.1193,0.2041,0.2295,0.2466,0.23905,0.21695,0.38929576,1,0.2397480987033885,-0.06396289504907779
0.0487,0.0647,0.0677,0.0983,0.1762,0.1939,0.1926,0.2256,0.1946,0.47983098,1,0.2148914443278963,0.005165289256198352
0.0496,0.0684,0.0688,0.0979,0.1745,0.1934,0.2056,0.2291,0.196,0.49854225,1,0.1321952542928854,-0.023904382470119515
0.0537,0.0759,0.0734,0.1154,0.18865,0.2048,0.2308,0.2306,0.19805,0.51742274,1,0.1198048973020643,-0.0763670280984027
