B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,NDBI,MNDWI,BSI,entropy,lc,random_split
0.0366,0.0493,0.0651,0.0666,0.1211,0.2423,0.2867,0.2994,0.3092,0.3077,0.1857,0.1186,0.63606554,-0.24954535,-0.48086125,-0.16039933,3.5773076784568323,0,0.9849950715308912
0.07136667,0.121133335,0.1596,0.19265,0.18305,0.2193,0.23305,0.2725,0.2531,0.23911667,0.24145,0.21793333,0.17166506,-0.023556791,-0.20408924,0.04888852,3.5166573001578367,0,0.9849386872438102
0.053125,0.072425,0.09173334,0.1012,0.13052857,0.179925,0.1964,0.2137,0.208,0.21426667,0.2177875,0.178225,0.35725626,0.022986818,-0.40725583,0.054308094,3.4646712616158406,0,0.984917669289612
0.0622,0.0515,0.07495,0.079,0.10665,0.16915,0.19105,0.2252,0.2105,0.26305,0.19845,0.1336,0.48060486,-0.02946571,-0.45171908,0.0013534336,3.5686433386998333,0,0.9847415244815668
0.0242,0.0339,0.0592,0.0433,0.0969,0.2734,0.329,0.3325,0.3596,0.3663,0.1526,0.0733,0.7695583,-0.404139,-0.44098207,-0.30321893,3.559978998942833,0,0.9846609057601836
0.11085,0.13515,0.165,0.19335,0.224975,0.2558,0.2743,0.290875,0.2857,0.2832,0.243,0.19156666,0.20140427,-0.08076412,-0.19117646,0.011972766,3.5773076784568323,0,0.9846334395200524
0.0142,0.021461904,0.041385714,0.029485714,0.0637,0.22439,0.2761,0.2812,0.3035,0.2834,0.1019,0.0481,0.8101894,-0.49728665,-0.422333,-0.3946023,3.5773076784568323,0,0.9841903443285688
0.0161,0.018,0.0343,0.0265,0.0626,0.1826,0.2257,0.2266,0.2532,0.272,0.105,0.0481,0.7905966,-0.41373536,-0.50753766,-0.30071792,3.5773076784568323,0,0.9840827116062024
0.052075,0.0607875,0.08036666,0.10046,0.126475,0.188625,0.21296,0.22319333,0.2383775,0.23706667,0.24465,0.171975,0.37921232,0.012985823,-0.5054613,0.097170666,3.5773076784568323,0,0.9840596650346128
0.06501176,0.060744446,0.080142856,0.09164444,0.12282857,0.16226667,0.17804444,0.18897143,0.19306,0.20001538,0.21303333,0.18175,0.3468335,0.049184106,-0.45327854,0.09913877,3.434346072466343,0,0.984032453325925
0.014725,0.020728571,0.046016667,0.026346155,0.08446,0.2486,0.3177,0.3348,0.3417,0.33436668,0.12955,0.06,0.854097,-0.4501857,-0.47579265,-0.39034566,3.5773076784568323,0,0.984018539891268
0.09266666,0.116225,0.1472,0.16155,0.2024,0.25945,0.28746668,0.30006668,0.30581668,0.292,0.27395,0.2212,0.30006862,-0.054964643,-0.30096167,0.022550507,3.464671261615841,0,0.9839734093315236
0.08273333,0.1366,0.165,0.18765,0.19405,0.21768333,0.22645833,0.2314,0.2431625,0.24006,0.2336,0.22077917,0.104402825,-0.02005714,-0.17210235,0.06746911,3.4646712616158406,0,0.9837941789291542
0.07135,0.1878,0.2168,0.2389,0.21365,0.265,0.2853,0.31225,0.29325,0.28555,0.2734,0.2458,0.13308534,-0.035030417,-0.115463085,0.012100579,3.5773076784568323,0,0.9837220639785854
0.0163,0.0225,0.039,0.0364,0.0698,0.1455,0.1799,0.1697,0.1992,0.2035,0.1351,0.0838,0.6467734,-0.19174393,-0.5519816,-0.056915008,3.4646712616158406,0,0.9835643733366556
0.0119,0.024,0.044,0.0414,0.0829,0.2186,0.251,0.2656,0.2756,0.2904,0.0993,0.0538,0.73029315,-0.47025874,-0.3859037,-0.34603766,3.4646712616158406,0,0.983452930949608
0.02075,0.027334286,0.051028572,0.036066666,0.08855,0.23416,0.27775,0.3133,0.30965,0.32196668,0.13595,0.071166664,0.7935312,-0.3898115,-0.45417732,-0.32891312,3.4646712616158406,0,0.9833329069992712
0.04225,0.05272,0.07236364,0.0833,0.1268,0.2482,0.2872,0.33346668,0.31873333,0.3102,0.20126666,0.12335,0.60025597,-0.22589745,-0.47108462,-0.15150131,3.447342582101842,0,0.9830837756940854
0.08105,0.0617,0.09005,0.10615,0.1528,0.2237,0.25415,0.30185,0.2696,0.22625,0.22055,0.1868,0.47965685,-0.100071415,-0.42015454,-0.053386442,3.460339091737341,0,0.9830011017501868
0.037064284,0.027006945,0.048975,0.0368875,0.08003,0.21745,0.2599,0.2449,0.28745416,0.31066668,0.1469,0.076466665,0.7381892,-0.32359344,-0.4999362,-0.19337398,3.4646712616158406,0,0.9826738414061978
0.05355,0.068566665,0.08738,0.1069,0.12716667,0.1645875,0.180725,0.1907,0.1992125,0.228,0.1725,0.1547,0.28158602,-0.07186335,-0.32753578,0.037376247,3.4473425821018417,0,0.9826347160621978
0.05075,0.04175,0.0627,0.06815,0.1064,0.1725,0.1979,0.2035,0.21955,0.2333,0.1767,0.11485,0.49825144,-0.10813881,-0.47619045,-0.0008161738,3.5773076784568323,0,0.98261425169424
