B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12,NDVI,entropy,lc,random_split
0.0585,0.0522,0.0788,0.0764,0.1218,0.2004,0.221,0.2374,0.2486,0.2628,0.2165,0.1584,0.51306564,3.427847817648594,1,0.748672114768893
0.04435,0.0442,0.0691,0.06475,0.10785,0.18675,0.2069,0.22,0.2269,0.24015,0.1991,0.1476,0.5452151,3.5426503194288346,1,0.7326329932831659
0.0327,0.0349,0.05425,0.0523,0.0854,0.17775,0.1922,0.2113,0.2148,0.24055,0.1722,0.11625,0.60318667,3.5686433386998333,1,0.7235791131931028
0.0375,0.037,0.0563,0.05105,0.09705,0.1995,0.22525,0.2527,0.2507,0.2535,0.19625,0.12815,0.6638683,3.369363524288848,1,0.6973150462625686
0.0539,0.0766,0.0994,0.0996,0.1215,0.2015,0.2167,0.234,0.2362,0.2475,0.2013,0.162,0.4028777,3.5773076784568323,1,0.6871255365722401
0.03575,0.0461,0.0685,0.0724,0.1009,0.18165,0.20205,0.2238,0.21595,0.2154,0.17965,0.13115,0.5111411,3.5166573001578367,1,0.6806354479342527
0.04195,0.05315,0.07245,0.0746,0.12575,0.1997,0.22795,0.2242,0.24425,0.2419,0.2042,0.1498,0.5006693,3.451674751980342,1,0.6415314670628846
0.03505,0.03905,0.0598,0.05275,0.09205,0.19645,0.2209,0.2253,0.2366,0.22975,0.1749,0.12835,0.62057185,3.5166573001578367,1,0.6081384452775698
0.0418,0.0435,0.062,0.061,0.0957,0.1804,0.1916,0.1968,0.215,0.2138,0.1745,0.1261,0.5267649,3.4386782423448428,1,0.5717379891568115
0.04405,0.0449,0.066,0.0623,0.1151,0.1904,0.2136,0.2365,0.2231,0.21825,0.2101,0.1582,0.58299863,3.4430104122233423,1,0.5662234618572726
0.0502,0.048,0.0772,0.0734,0.1177,0.1967,0.2194,0.2254,0.242,0.2474,0.2077,0.1501,0.5087015,3.388858288742097,1,0.5502224544000958
0.0518,0.0536,0.0779,0.0758,0.1157,0.214,0.23275,0.2456,0.24655,0.26125,0.1925,0.1381,0.52831364,3.460339091737341,1,0.4954345122608635
0.0463,0.0433,0.0634,0.0621,0.1047,0.1999,0.2194,0.2326,0.2434,0.2415,0.187,0.1392,0.57855445,3.5166573001578367,1,0.4825579498323201
0.0404,0.0414,0.06025,0.06185,0.10695,0.20005,0.219,0.2262,0.2263,0.22185,0.1959,0.13995,0.5705607,3.4646712616158406,1,0.4168286692612365
0.05785,0.0543,0.07495,0.0813,0.12165,0.18985,0.21685,0.2388,0.228,0.23785,0.22295,0.16735,0.49203375,3.4603390917373416,1,0.4042080563461361
0.0332,0.03945,0.0613,0.0551,0.0974,0.189,0.209,0.2108,0.2282,0.2373,0.17665,0.11945,0.5855585,3.4646712616158406,1,0.2355052578624694
0.0364,0.0422,0.0546,0.061,0.0899,0.1369,0.149,0.1698,0.1682,0.1799,0.2072,0.1496,0.4714038,3.5773076784568323,1,0.2224215601496584
0.0352,0.0402,0.0599,0.06165,0.0966,0.20795,0.2322,0.2395,0.2615,0.2454,0.17585,0.1102,0.5905695,3.533985979671836,1,0.1970683745772236
0.044,0.054,0.073,0.0795,0.1024,0.177,0.1957,0.213,0.2164,0.215,0.2059,0.1494,0.45641026,3.4300139025878438,1,0.1928798306380765
0.039,0.0449,0.0578,0.0575,0.0902,0.1357,0.148,0.1604,0.1616,0.1694,0.2226,0.1595,0.47223496,3.5686433386998333,1,0.1464533921811943
0.05295,0.0443,0.0742,0.06925,0.1518,0.22475,0.24425,0.2393,0.26245,0.27875,0.2363,0.1836,0.55112624,3.4646712616158406,1,0.1160127933836249
0.03295,0.0335,0.0554,0.04915,0.0952,0.19155,0.2095,0.2279,0.2367,0.24355,0.1851,0.1224,0.6451904,3.5686433386998333,1,0.0887881298869083
0.0518,0.0708,0.1024,0.1078,0.1422,0.2324,0.2526,0.2624,0.2761,0.2666,0.218,0.1643,0.4176121,3.460339091737341,1,0.0873625260885158
0.048,0.0521,0.0778,0.07315,0.126,0.22165,0.23735,0.2503,0.258,0.2568,0.2083,0.1608,0.54768896,3.566477253760583,1,0.0794480937391053
0.0295,0.0388,0.05855,0.05095,0.0909,0.21445,0.2341,0.2434,0.2525,0.2602,0.1736,0.114,0.6538135,3.5773076784568323,1,0.0227152974283858
0.0401,0.0461,0.0674,0.0606,0.0954,0.1632,0.1834,0.1956,0.1968,0.2031,0.1841,0.1314,0.52693206,3.4386782423448428,1,0.7859035687765205
0.04005,0.03965,0.06365,0.05915,0.0946,0.1941,0.213,0.2192,0.2315,0.23835,0.1765,0.12315,0.5749955,3.529653809793336,1,0.7607386664135769
0.0498,0.0538,0.0785,0.0826,0.114,0.1912,0.209,0.2272,0.2269,0.2436,0.2034,0.1513,0.46675277,3.5686433386998333,1,0.73532947947406
0.0379,0.0422,0.0612,0.0558,0.0984,0.1959,0.2288,0.2296,0.2479,0.2628,0.1825,0.1141,0.60896987,3.566477253760583,1,0.7276250545241477
0.0454,0.0584,0.0852,0.0826,0.1192,0.1936,0.2166,0.2296,0.2306,0.2301,0.1975,0.15,0.47085202,3.4646712616158406,1,0.7080259525557782
0.0408,0.0423,0.0619,0.0586,0.0895,0.1713,0.1903,0.2126,0.2123,0.2187,0.175,0.1222,0.5678466,3.417017392952345,1,0.6750720985461351
0.03825,0.04695,0.06895,0.0721,0.11565,0.2012,0.2238,0.2342,0.24525,0.22525,0.2047,0.1441,0.52921975,3.557812914003584,1,0.6683298637494722
0.0398,0.0467,0.0647,0.0622,0.0933,0.1746,0.1948,0.2054,0.2132,0.2361,0.1859,0.1439,0.53512704,3.490664280886839,1,0.6663536294329545
0.0514,0.0417,0.0606,0.0634,0.0929,0.1609,0.184,0.195,0.2042,0.2241,0.1897,0.136,0.5092879,3.5231555549755877,1,0.6282285249394907
0.04535,0.046,0.0672,0.0715,0.11165,0.15815,0.17535,0.1933,0.20485,0.2172,0.24245,0.18015,0.45996976,3.4646712616158406,1,0.6178952615320638
0.0528,0.0578,0.0733,0.0789,0.1232,0.1763,0.1949,0.2068,0.2143,0.2179,0.2704,0.1963,0.44767237,3.5773076784568323,1,0.6160329327062796
0.0462,0.04675,0.06245,0.0726,0.11395,0.17005,0.18735,0.1999,0.21,0.19905,0.2128,0.15365,0.46715596,3.4473425821018417,1,0.5196231338279552
0.0495,0.0548,0.0756,0.0794,0.1268,0.1899,0.2112,0.2204,0.2362,0.236,0.211,0.169,0.47031355,3.4061869682560952,1,0.4885123730938311
0.0424,0.0548,0.0772,0.0831,0.1099,0.1676,0.1838,0.1996,0.2007,0.2058,0.2146,0.1676,0.41209763,3.3910243736813466,1,0.4871962945522138
0.0349,0.0458,0.064,0.0771,0.0951,0.1378,0.1526,0.171,0.1687,0.1799,0.2239,0.17,0.3784764,3.531819894732586,1,0.3504789508809036
0.0859,0.07535,0.1043,0.1131,0.1589,0.2032,0.22385,0.2429,0.2485,0.2962,0.25595,0.1942,0.36460674,3.4906642808868384,1,0.3282829829187716
0.0458,0.0564,0.08,0.0804,0.1123,0.1803,0.1999,0.2356,0.2188,0.2108,0.2073,0.1594,0.49113923,3.5773076784568323,1,0.2610878253733246
